SourceField,TargetField,DataType
Id,AccountId,STRING
Name,Name,STRING
ParentId,ParentId,STRING
Phone,Phone,STRING
Fax,Fax,STRING
Website,Website,STRING
Type,Type,STRING
Industry,Industry,STRING
NumberOfEmployees,NumberOfEmployees,INT64
AnnualRevenue,AnnualRevenue,FLOAT
Description,Description,STRING
AccountSource,AccountSource,STRING
BillingStreet,BillingStreet,STRING
BillingCity,BillingCity,STRING
BillingState,BillingState,STRING
BillingPostalCode,BillingPostalCode,STRING
BillingCountry,BillingCountry,STRING
ShippingStreet,ShippingStreet,STRING
ShippingCity,ShippingCity,STRING
ShippingState,ShippingState,STRING
ShippingPostalCode,ShippingPostalCode,STRING
ShippingCountry,ShippingCountry,STRING
OwnerId,OwnerId,STRING
CreatedById,CreatedById,STRING
LastModifiedById,LastModifiedById,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
BillingLatitude,BillingLatitude,FLOAT
BillingLongitude,BillingLongitude,FLOAT
LastActivityDate,LastActivityDate,DATE
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
LastViewedDate,LastViewedDatestamp,TIMESTAMP
MasterRecordId,MasterRecordId,STRING
RecordTypeId,RecordTypeId,STRING
ShippingGeocodeAccuracy,ShippingGeocodeAccuracy,STRING
ShippingLatitude,ShippingLatitude,FLOAT
ShippingLongitude,ShippingLongitude,FLOAT
