SourceField,TargetField,DataType
Id,TaskId,STRING
AccountId,AccountId,STRING
ActivityDate,ActivityDate,DATE
CallDisposition,CallDisposition,STRING
CallDurationInSeconds,CallDurationInSeconds,STRING
CallObject,CallObject,STRING
CallType,CallType,STRING
CompletedDateTime,CompletedDateTimestamp,TIMESTAMP
CreatedById,CreatedById,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
Description,Description,STRING
IsArchived,IsArchived,BOOL
IsClosed,IsClosed,BOOL
IsHighPriority,IsHighPriority,BOOL
IsRecurrence,IsRecurrence,BOOL
IsReminderSet,IsReminderSet,BOOL
LastModifiedById,LastModifiedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
OwnerId,OwnerId,STRING
Priority,Priority,STRING
RecurrenceActivityId,RecurrenceActivityId,STRING
RecurrenceDayOfMonth,RecurrenceDayOfMonth,STRING
RecurrenceDayOfWeekMask,RecurrenceDayOfWeekMask,STRING
RecurrenceEndDateOnly,RecurrenceEndDateOnly,DATE
RecurrenceInstance,RecurrenceInstance,STRING
RecurrenceInterval,RecurrenceInterval,STRING
RecurrenceMonthOfYear,RecurrenceMonthOfYear,STRING
RecurrenceRegeneratedType,RecurrenceRegeneratedType,STRING
RecurrenceStartDateOnly,RecurrenceStartDateOnly,DATE
RecurrenceTimeZoneSidKey,RecurrenceTimeZoneSidKey,STRING
RecurrenceType,RecurrenceType,STRING
ReminderDateTime,ReminderDateTimestamp,TIMESTAMP
Status,Status,STRING
Subject,Subject,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
TaskSubtype,TaskSubtype,STRING
WhatId,WhatId,STRING
WhoId,WhoId,STRING
