SourceField,TargetField,DataType
Id,LeadId,STRING
AnnualRevenue,AnnualRevenue,FLOAT
City,City,STRING
Company,Company,STRING
ConvertedAccountId,ConvertedAccountId,STRING
ConvertedContactId,ConvertedContactId,STRING
ConvertedDate,ConvertedDate,DATE
ConvertedOpportunityId,ConvertedOpportunityId,STRING
Country,Country,STRING
CreatedById,CreatedById,STRING
CreatedDate,CreatedDatestamp,TIMESTAMP
Description,Description,STRING
Email,Email,STRING
EmailBouncedDate,EmailBouncedDatestamp,TIMESTAMP
EmailBouncedReason,EmailBouncedReason,STRING
FirstName,FirstName,STRING
GeocodeAccuracy,GeocodeAccuracy,STRING
IndividualId,IndividualId,STRING
Industry,Industry,STRING
IsConverted,IsConverted,BOOL
IsUnreadByOwner,IsUnreadByOwner,BOOL
Jigsaw,Jigsaw,STRING
JigsawContactId,JigsawContactId,STRING
LastActivityDate,LastActivityDate,DATE
LastModifiedById,LastModifiedById,STRING
LastModifiedDate,LastModifiedDatestamp,TIMESTAMP
LastName,LastName,STRING
LastReferencedDate,LastReferencedDatestamp,TIMESTAMP
LastViewedDate,LastViewedDatestamp,TIMESTAMP
Latitude,Latitude,STRING
LeadSource,LeadSource,STRING
Longitude,Longitude,STRING
MasterRecordId,MasterRecordId,STRING
Name,Name,STRING
NumberOfEmployees,NumberOfEmployees,INT64
OwnerId,OwnerId,STRING
Phone,Phone,STRING
PhotoUrl,PhotoUrl,STRING
PostalCode,PostalCode,STRING
Rating,Rating,STRING
RecordTypeId,RecordTypeId,STRING
Salutation,Salutation,STRING
State,State,STRING
Status,Status,STRING
Street,Street,STRING
SystemModstamp,SystemModstamp,TIMESTAMP
Title,Title,STRING
Website,Website,STRING
